['1100', '10590', '0.00', '20.00']
['1100', '10636', '0.00', '21.94']
['1108', '10418', '0.00', '23.89']
['1123', '10013', '0.00', '25.83']
['1139', '9613', '0.00', '27.78']
['1156', '9224', '0.00', '29.72']
['1171', '8877', '0.00', '31.66']
['1192', '8511', '0.00', '33.61']
['1214', '8092', '0.00', '35.55']
['1243', '7640', '0.00', '37.50']
['1271', '7225', '0.00', '39.44']
['1301', '6822', '0.00', '41.38']
['1339', '6419', '0.00', '43.33']
['1367', '6118', '0.00', '45.27']
['1405', '5707', '0.00', '47.22']
['1449', '5281', '0.00', '49.16']
['1501', '5003', '0.00', '51.10']
['1525', '2200', '0.00', '53.05']
['1435', '6363', '0.00', '54.99']
['1393', '6539', '0.00', '56.94']
['1362', '6827', '0.00', '58.88']
['1328', '7205', '0.00', '60.82']
['1299', '7578', '0.00', '62.77']
['1273', '7940', '0.00', '64.71']
['1251', '8299', '0.00', '66.66']
['1228', '8637', '0.00', '68.60']
['1207', '8980', '0.00', '70.55']
['1191', '9271', '0.00', '72.49']
['1172', '9675', '0.00', '74.43']
['1156', '10056', '0.00', '76.38']
['1141', '10375', '0.00', '78.32']
['1134', '10644', '0.00', '80.27']
['1122', '11205', '0.00', '82.21']
['1180', '4320', '0.00', '84.15']
['1436', '3570', '0.00', '86.10']
['1507', '17304', '0.00', '88.04']
['1509', '7783', '0.00', '89.99']
['1503', '7649', '0.00', '91.93']
['1498', '7956', '0.00', '93.87']
['1499', '8260', '0.00', '95.82']
['1497', '8035', '0.00', '97.76']
['1497', '7825', '0.00', '99.71']
['1500', '7791', '0.00', '101.65']
['1505', '7506', '0.00', '103.59']
['1512', '7126', '0.00', '105.54']
['1522', '6917', '0.00', '107.48']
['1530', '6697', '0.00', '109.43']
['1544', '5495', '0.00', '111.37']
['1548', '4292', '0.00', '113.31']
['1565', '4073', '0.00', '115.26']
['1581', '7927', '0.00', '117.20']
['1532', '9640', '0.00', '119.15']
['1532', '3990', '0.00', '121.09']
['1231', '5731', '0.00', '123.03']
['1155', '5088', '0.00', '124.98']
['994', '10197', '0.00', '126.92']
['1011', '11014', '0.00', '128.87']
['1037', '11810', '0.00', '130.81']
['1081', '3047', '0.00', '132.75']
['1096', '1791', '0.00', '134.70']
['1079', '4412', '0.00', '136.64']
['1070', '6258', '0.00', '138.59']
['1257', '1230', '0.00', '140.53']
['1345', '1131', '0.00', '142.47']
['1332', '2592', '0.00', '144.42']
['1410', '850', '0.00', '146.36']
['1422', '2166', '0.00', '148.31']
['1397', '10952', '1.99', '150.25']
['1107', '10296', '1.99', '20.00']
['1112', '10223', '1.99', '21.94']
['1123', '9933', '1.99', '23.89']
['1135', '9625', '1.99', '25.83']
['1148', '9379', '1.99', '27.78']
['1158', '9114', '1.99', '29.72']
['1176', '8784', '1.99', '31.66']
['1198', '8361', '1.99', '33.61']
['1219', '7970', '1.99', '35.55']
['1243', '7591', '1.99', '37.50']
['1274', '7150', '1.99', '39.44']
['1306', '6792', '1.99', '41.38']
['1341', '6403', '1.99', '43.33']
['1377', '6000', '1.99', '45.27']
['1416', '5586', '1.99', '47.22']
['1459', '5185', '1.99', '49.16']
['1504', '4995', '1.99', '51.10']
['1528', '3198', '1.99', '53.05']
['1434', '6334', '1.99', '54.99']
['1392', '6439', '1.99', '56.94']
['1355', '6814', '1.99', '58.88']
['1319', '7241', '1.99', '60.82']
['1291', '7616', '1.99', '62.77']
['1265', '7975', '1.99', '64.71']
['1248', '8114', '1.99', '66.66']
['1224', '8633', '1.99', '68.60']
['1204', '8979', '1.99', '70.55']
['1185', '9300', '1.99', '72.49']
['1165', '9763', '1.99', '74.43']
['1149', '10197', '1.99', '76.38']
['1137', '10437', '1.99', '78.32']
['1131', '10741', '1.99', '80.27']
['1120', '11285', '1.99', '82.21']
['1154', '13992', '1.99', '84.15']
['1386', '6155', '1.99', '86.10']
['1507', '8730', '1.99', '88.04']
['1501', '7685', '1.99', '89.99']
['1497', '7798', '1.99', '91.93']
['1493', '8063', '1.99', '93.87']
['1492', '8512', '1.99', '95.82']
['1493', '8242', '1.99', '97.76']
['1496', '7975', '1.99', '99.71']
['1497', '7831', '1.99', '101.65']
['1502', '7579', '1.99', '103.59']
['1510', '7173', '1.99', '105.54']
['1518', '6962', '1.99', '107.48']
['1529', '6710', '1.99', '109.43']
['1541', '6006', '1.99', '111.37']
['1546', '4315', '1.99', '113.31']
['1578', '5561', '1.99', '115.26']
['1570', '5130', '1.99', '117.20']
['1429', '5005', '1.99', '119.15']
['1298', '6129', '1.99', '121.09']
['1284', '4202', '1.99', '123.03']
['1163', '5118', '1.99', '124.98']
['1002', '8160', '1.99', '126.92']
['996', '7812', '1.99', '128.87']
['1016', '3738', '1.99', '130.81']
['1086', '4652', '1.99', '132.75']
['1085', '1373', '1.99', '134.70']
['1103', '9307', '1.99', '136.64']
['1079', '9383', '1.99', '138.59']
['1267', '2964', '1.99', '140.53']
['1261', '5804', '1.99', '142.47']
['1263', '3380', '1.99', '144.42']
['1281', '3209', '1.99', '146.36']
['1293', '3218', '1.99', '148.31']
['1420', '3049', '3.98', '150.25']
['1109', '10230', '3.98', '20.00']
['1110', '10171', '3.98', '21.94']
['1121', '9771', '3.98', '23.89']
['1137', '9486', '3.98', '25.83']
['1148', '9292', '3.98', '27.78']
['1156', '9067', '3.98', '29.72']
['1174', '8753', '3.98', '31.66']
['1195', '8361', '3.98', '33.61']
['1218', '7970', '3.98', '35.55']
['1247', '7528', '3.98', '37.50']
['1278', '7127', '3.98', '39.44']
['1309', '6766', '3.98', '41.38']
['1337', '6395', '3.98', '43.33']
['1374', '5996', '3.98', '45.27']
['1412', '5597', '3.98', '47.22']
['1454', '5183', '3.98', '49.16']
['1507', '5003', '3.98', '51.10']
['1535', '3394', '3.98', '53.05']
['1431', '6288', '3.98', '54.99']
['1388', '6453', '3.98', '56.94']
['1358', '6801', '3.98', '58.88']
['1325', '7171', '3.98', '60.82']
['1296', '7523', '3.98', '62.77']
['1269', '7928', '3.98', '64.71']
['1244', '8230', '3.98', '66.66']
['1221', '8607', '3.98', '68.60']
['1201', '8979', '3.98', '70.55']
['1185', '9274', '3.98', '72.49']
['1167', '9676', '3.98', '74.43']
['1153', '10003', '3.98', '76.38']
['1138', '10432', '3.98', '78.32']
['1131', '10787', '3.98', '80.27']
['1122', '11584', '3.98', '82.21']
['1146', '5373', '3.98', '84.15']
['1302', '5184', '3.98', '86.10']
['1501', '9193', '3.98', '88.04']
['1500', '7681', '3.98', '89.99']
['1495', '7755', '3.98', '91.93']
['1490', '8202', '3.98', '93.87']
['1490', '8458', '3.98', '95.82']
['1490', '8173', '3.98', '97.76']
['1494', '7835', '3.98', '99.71']
['1495', '7811', '3.98', '101.65']
['1501', '7598', '3.98', '103.59']
['1510', '7163', '3.98', '105.54']
['1520', '6876', '3.98', '107.48']
['1529', '6623', '3.98', '109.43']
['1541', '6218', '3.98', '111.37']
['1542', '4336', '3.98', '113.31']
['1547', '5594', '3.98', '115.26']
['1566', '6574', '3.98', '117.20']
['1445', '4293', '3.98', '119.15']
['1281', '7187', '3.98', '121.09']
['1248', '4636', '3.98', '123.03']
['1146', '6447', '3.98', '124.98']
['1006', '7469', '3.98', '126.92']
['997', '14233', '3.98', '128.87']
['1014', '13009', '3.98', '130.81']
['1048', '3455', '3.98', '132.75']
['1071', '1597', '3.98', '134.70']
['1101', '2919', '3.98', '136.64']
['1078', '12964', '3.98', '138.59']
['1100', '12668', '3.98', '140.53']
['1133', '12793', '3.98', '142.47']
['1169', '12344', '3.98', '144.42']
['1210', '12177', '3.98', '146.36']
['1252', '12217', '3.98', '148.31']
['1421', '7596', '5.97', '150.25']
['1108', '10233', '5.97', '20.00']
['1110', '10142', '5.97', '21.94']
['1120', '9860', '5.97', '23.89']
['1135', '9501', '5.97', '25.83']
['1146', '9249', '5.97', '27.78']
['1156', '9023', '5.97', '29.72']
['1175', '8648', '5.97', '31.66']
['1196', '8270', '5.97', '33.61']
['1221', '7868', '5.97', '35.55']
['1246', '7444', '5.97', '37.50']
['1270', '7088', '5.97', '39.44']
['1302', '6745', '5.97', '41.38']
['1338', '6336', '5.97', '43.33']
['1373', '5941', '5.97', '45.27']
['1412', '5519', '5.97', '47.22']
['1456', '5138', '5.97', '49.16']
['1510', '4980', '5.97', '51.10']
['1525', '2476', '5.97', '53.05']
['1435', '6389', '5.97', '54.99']
['1393', '6459', '5.97', '56.94']
['1357', '6760', '5.97', '58.88']
['1322', '7201', '5.97', '60.82']
['1294', '7581', '5.97', '62.77']
['1268', '7972', '5.97', '64.71']
['1246', '8293', '5.97', '66.66']
['1227', '8572', '5.97', '68.60']
['1206', '8938', '5.97', '70.55']
['1186', '9351', '5.97', '72.49']
['1168', '9730', '5.97', '74.43']
['1151', '10089', '5.97', '76.38']
['1139', '10490', '5.97', '78.32']
['1134', '10690', '5.97', '80.27']
['1123', '11149', '5.97', '82.21']
['1134', '11908', '5.97', '84.15']
['1269', '6740', '5.97', '86.10']
['1500', '16665', '5.97', '88.04']
['1501', '16846', '5.97', '89.99']
['1494', '17287', '5.97', '91.93']
['1491', '17649', '5.97', '93.87']
['1490', '17977', '5.97', '95.82']
['1489', '17953', '5.97', '97.76']
['1492', '17391', '5.97', '99.71']
['1493', '17095', '5.97', '101.65']
['1499', '16673', '5.97', '103.59']
['1507', '15792', '5.97', '105.54']
['1516', '15134', '5.97', '107.48']
['1528', '14570', '5.97', '109.43']
['1538', '13490', '5.97', '111.37']
['1539', '9560', '5.97', '113.31']
['1559', '9166', '5.97', '115.26']
['1559', '7407', '5.97', '117.20']
['1462', '3883', '5.97', '119.15']
['1277', '7219', '5.97', '121.09']
['1267', '4311', '5.97', '123.03']
['1121', '6405', '5.97', '124.98']
['1008', '7308', '5.97', '126.92']
['1004', '8878', '5.97', '128.87']
['1022', '6154', '5.97', '130.81']
['1049', '3259', '5.97', '132.75']
['1092', '1921', '5.97', '134.70']
['1098', '2751', '5.97', '136.64']
['1070', '16967', '5.97', '138.59']
['1091', '17801', '5.97', '140.53']
['1125', '15520', '5.97', '142.47']
['1166', '14370', '5.97', '144.42']
['1212', '14450', '5.97', '146.36']
['1253', '11885', '5.97', '148.31']
['1432', '5010', '7.97', '150.25']
['1105', '10229', '7.97', '20.00']
['1109', '10152', '7.97', '21.94']
['1122', '9788', '7.97', '23.89']
['1133', '9557', '7.97', '25.83']
['1143', '9297', '7.97', '27.78']
['1155', '9027', '7.97', '29.72']
['1173', '8641', '7.97', '31.66']
['1196', '8297', '7.97', '33.61']
['1220', '7890', '7.97', '35.55']
['1245', '7436', '7.97', '37.50']
['1270', '7092', '7.97', '39.44']
['1301', '6743', '7.97', '41.38']
['1336', '6311', '7.97', '43.33']
['1372', '5920', '7.97', '45.27']
['1411', '5513', '7.97', '47.22']
['1456', '5104', '7.97', '49.16']
['1511', '4934', '7.97', '51.10']
['1540', '2553', '7.97', '53.05']
['1439', '6311', '7.97', '54.99']
['1396', '6371', '7.97', '56.94']
['1361', '6697', '7.97', '58.88']
['1324', '7103', '7.97', '60.82']
['1297', '7514', '7.97', '62.77']
['1270', '7895', '7.97', '64.71']
['1249', '8260', '7.97', '66.66']
['1231', '8526', '7.97', '68.60']
['1210', '8903', '7.97', '70.55']
['1190', '9238', '7.97', '72.49']
['1170', '9623', '7.97', '74.43']
['1154', '10011', '7.97', '76.38']
['1141', '10395', '7.97', '78.32']
['1134', '10614', '7.97', '80.27']
['1125', '10976', '7.97', '82.21']
['1143', '4144', '7.97', '84.15']
['1357', '2962', '7.97', '86.10']
['1503', '16023', '7.97', '88.04']
['1505', '16519', '7.97', '89.99']
['1498', '16850', '7.97', '91.93']
['1494', '17049', '7.97', '93.87']
['1493', '17355', '7.97', '95.82']
['1493', '17545', '7.97', '97.76']
['1494', '17325', '7.97', '99.71']
['1497', '16822', '7.97', '101.65']
['1500', '16341', '7.97', '103.59']
['1508', '15508', '7.97', '105.54']
['1518', '14911', '7.97', '107.48']
['1528', '14400', '7.97', '109.43']
['1541', '12271', '7.97', '111.37']
['1541', '9499', '7.97', '113.31']
['1561', '9080', '7.97', '115.26']
['1565', '7460', '7.97', '117.20']
['1460', '3909', '7.97', '119.15']
['1305', '5426', '7.97', '121.09']
['1206', '6358', '7.97', '123.03']
['1176', '4147', '7.97', '124.98']
['1013', '7224', '7.97', '126.92']
['1003', '8060', '7.97', '128.87']
['1026', '3627', '7.97', '130.81']
['1060', '2618', '7.97', '132.75']
['1069', '3733', '7.97', '134.70']
['1104', '2689', '7.97', '136.64']
['1073', '16633', '7.97', '138.59']
['1100', '17125', '7.97', '140.53']
['1127', '15499', '7.97', '142.47']
['1169', '14390', '7.97', '144.42']
['1210', '13523', '7.97', '146.36']
['1264', '10182', '7.97', '148.31']
['1469', '3502', '9.96', '150.25']
['1104', '10264', '9.96', '20.00']
['1108', '10163', '9.96', '21.94']
['1121', '9805', '9.96', '23.89']
