['1103', '11748', '0.00', '20.00']
['1104', '11767', '0.00', '21.94']
['1117', '11455', '0.00', '23.89']
['1131', '11100', '0.00', '25.83']
['1147', '10749', '0.00', '27.78']
['1164', '10379', '0.00', '29.72']
['1182', '9975', '0.00', '31.66']
['1204', '9561', '0.00', '33.61']
['1228', '9136', '0.00', '35.55']
['1248', '8739', '0.00', '37.50']
['1277', '8311', '0.00', '39.44']
['1308', '7785', '0.00', '41.38']
['1342', '7325', '0.00', '43.33']
['1379', '6874', '0.00', '45.27']
['1420', '6347', '0.00', '47.22']
['1467', '5814', '0.00', '49.16']
['1521', '5364', '0.00', '51.10']
['1571', '5048', '0.00', '53.05']
['1619', '6035', '0.00', '54.99']
['1589', '5163', '0.00', '56.94']
['1546', '5100', '0.00', '58.88']
['1507', '5320', '0.00', '60.82']
['1475', '5596', '0.00', '62.77']
['1446', '5924', '0.00', '64.71']
['1413', '6114', '0.00', '66.66']
['1380', '5896', '0.00', '68.60']
['1359', '6501', '0.00', '70.55']
['1336', '6792', '0.00', '72.49']
['1316', '7140', '0.00', '74.43']
['1301', '7431', '0.00', '76.38']
['1285', '7658', '0.00', '78.32']
['1271', '7913', '0.00', '80.27']
['1262', '8099', '0.00', '82.21']
['1253', '8365', '0.00', '84.15']
['1245', '8529', '0.00', '86.10']
['1236', '8752', '0.00', '88.04']
['1232', '9034', '0.00', '89.99']
['1228', '9303', '0.00', '91.93']
['1226', '9444', '0.00', '93.87']
['1225', '9575', '0.00', '95.82']
['1225', '9478', '0.00', '97.76']
['1227', '9438', '0.00', '99.71']
['1229', '9315', '0.00', '101.65']
['1234', '8997', '0.00', '103.59']
['1241', '8691', '0.00', '105.54']
['1249', '8452', '0.00', '107.48']
['1257', '8237', '0.00', '109.43']
['1264', '8088', '0.00', '111.37']
['1277', '7847', '0.00', '113.31']
['1289', '7593', '0.00', '115.26']
['1307', '7269', '0.00', '117.20']
['1325', '6952', '0.00', '119.15']
['1345', '6689', '0.00', '121.09']
['1369', '6373', '0.00', '123.03']
['1392', '6106', '0.00', '124.98']
['1415', '5849', '0.00', '126.92']
['1444', '5546', '0.00', '128.87']
['1477', '5227', '0.00', '130.81']
['1510', '4880', '0.00', '132.75']
['1552', '4628', '0.00', '134.70']
['1600', '4373', '0.00', '136.64']
['1648', '3873', '0.00', '138.59']
['1706', '3552', '0.00', '140.53']
['1748', '3314', '0.00', '142.47']
['1812', '3183', '0.00', '144.42']
['1838', '2349', '0.00', '146.36']
['1788', '2719', '0.00', '148.31']
['1719', '3097', '1.99', '150.25']
['1115', '11445', '1.99', '20.00']
['1116', '11461', '1.99', '21.94']
['1126', '11224', '1.99', '23.89']
['1135', '11026', '1.99', '25.83']
['1146', '10744', '1.99', '27.78']
['1164', '10339', '1.99', '29.72']
['1178', '10037', '1.99', '31.66']
['1199', '9615', '1.99', '33.61']
['1222', '9203', '1.99', '35.55']
['1249', '8735', '1.99', '37.50']
['1276', '8291', '1.99', '39.44']
['1308', '7760', '1.99', '41.38']
['1342', '7297', '1.99', '43.33']
['1379', '6866', '1.99', '45.27']
['1414', '6401', '1.99', '47.22']
['1460', '5875', '1.99', '49.16']
['1515', '5405', '1.99', '51.10']
['1571', '5036', '1.99', '53.05']
['1617', '6028', '1.99', '54.99']
['1587', '5125', '1.99', '56.94']
['1540', '5084', '1.99', '58.88']
['1504', '5306', '1.99', '60.82']
['1481', '5524', '1.99', '62.77']
['1450', '5848', '1.99', '64.71']
['1410', '6148', '1.99', '66.66']
['1380', '5931', '1.99', '68.60']
['1358', '6503', '1.99', '70.55']
['1335', '6784', '1.99', '72.49']
['1315', '7136', '1.99', '74.43']
['1301', '7342', '1.99', '76.38']
['1288', '7589', '1.99', '78.32']
['1275', '7809', '1.99', '80.27']
['1264', '8080', '1.99', '82.21']
['1254', '8315', '1.99', '84.15']
['1246', '8484', '1.99', '86.10']
['1239', '8738', '1.99', '88.04']
['1234', '8956', '1.99', '89.99']
['1230', '9079', '1.99', '91.93']
['1228', '9267', '1.99', '93.87']
['1226', '9321', '1.99', '95.82']
['1226', '9204', '1.99', '97.76']
['1229', '9186', '1.99', '99.71']
['1231', '9080', '1.99', '101.65']
['1235', '8864', '1.99', '103.59']
['1242', '8621', '1.99', '105.54']
['1248', '8439', '1.99', '107.48']
['1256', '8250', '1.99', '109.43']
['1267', '8041', '1.99', '111.37']
['1277', '7756', '1.99', '113.31']
['1292', '7534', '1.99', '115.26']
['1308', '7239', '1.99', '117.20']
['1328', '6902', '1.99', '119.15']
['1349', '6628', '1.99', '121.09']
['1367', '6397', '1.99', '123.03']
['1389', '6116', '1.99', '124.98']
['1419', '5796', '1.99', '126.92']
['1447', '5465', '1.99', '128.87']
['1480', '5173', '1.99', '130.81']
['1520', '4839', '1.99', '132.75']
['1558', '4577', '1.99', '134.70']
['1605', '4297', '1.99', '136.64']
['1640', '3917', '1.99', '138.59']
['1702', '3578', '1.99', '140.53']
['1752', '3289', '1.99', '142.47']
['1818', '3209', '1.99', '144.42']
['1844', '3123', '1.99', '146.36']
['1783', '2726', '1.99', '148.31']
['1721', '3145', '3.98', '150.25']
['1115', '11468', '3.98', '20.00']
['1115', '11453', '3.98', '21.94']
['1127', '11166', '3.98', '23.89']
['1135', '10969', '3.98', '25.83']
['1144', '10767', '3.98', '27.78']
['1161', '10421', '3.98', '29.72']
['1180', '10062', '3.98', '31.66']
['1199', '9620', '3.98', '33.61']
['1223', '9216', '3.98', '35.55']
['1249', '8730', '3.98', '37.50']
['1276', '8293', '3.98', '39.44']
['1308', '7775', '3.98', '41.38']
['1338', '7367', '3.98', '43.33']
['1374', '6943', '3.98', '45.27']
['1412', '6414', '3.98', '47.22']
['1459', '5854', '3.98', '49.16']
['1512', '5395', '3.98', '51.10']
['1572', '4992', '3.98', '53.05']
['1620', '5987', '3.98', '54.99']
['1591', '5111', '3.98', '56.94']
['1555', '5030', '3.98', '58.88']
['1514', '5197', '3.98', '60.82']
['1483', '5491', '3.98', '62.77']
['1456', '5795', '3.98', '64.71']
['1415', '6156', '3.98', '66.66']
['1384', '5919', '3.98', '68.60']
['1361', '6438', '3.98', '70.55']
['1339', '6745', '3.98', '72.49']
['1322', '7035', '3.98', '74.43']
['1305', '7237', '3.98', '76.38']
['1291', '7490', '3.98', '78.32']
['1279', '7743', '3.98', '80.27']
['1266', '7952', '3.98', '82.21']
['1256', '8183', '3.98', '84.15']
['1249', '8376', '3.98', '86.10']
['1242', '8486', '3.98', '88.04']
['1236', '8740', '3.98', '89.99']
['1234', '8246', '3.98', '91.93']
['1232', '9038', '3.98', '93.87']
['1230', '9042', '3.98', '95.82']
['1231', '8967', '3.98', '97.76']
['1232', '8890', '3.98', '99.71']
['1234', '8849', '3.98', '101.65']
['1239', '8717', '3.98', '103.59']
['1245', '8537', '3.98', '105.54']
['1252', '8337', '3.98', '107.48']
['1261', '8133', '3.98', '109.43']
['1272', '7923', '3.98', '111.37']
['1283', '7660', '3.98', '113.31']
['1297', '7430', '3.98', '115.26']
['1313', '7143', '3.98', '117.20']
['1328', '6903', '3.98', '119.15']
['1349', '6637', '3.98', '121.09']
['1372', '6332', '3.98', '123.03']
['1396', '6040', '3.98', '124.98']
['1424', '5728', '3.98', '126.92']
['1454', '5397', '3.98', '128.87']
['1486', '5102', '3.98', '130.81']
['1526', '4770', '3.98', '132.75']
['1559', '4524', '3.98', '134.70']
['1600', '4236', '3.98', '136.64']
['1649', '3841', '3.98', '138.59']
['1708', '3538', '3.98', '140.53']
['1761', '3239', '3.98', '142.47']
['1830', '3255', '3.98', '144.42']
['1850', '3826', '3.98', '146.36']
['1781', '2834', '3.98', '148.31']
['1722', '3072', '5.97', '150.25']
['1114', '11463', '5.97', '20.00']
['1117', '11400', '5.97', '21.94']
['1129', '11124', '5.97', '23.89']
['1135', '10981', '5.97', '25.83']
['1146', '10771', '5.97', '27.78']
['1160', '10426', '5.97', '29.72']
['1179', '10029', '5.97', '31.66']
['1200', '9625', '5.97', '33.61']
['1222', '9169', '5.97', '35.55']
['1248', '8744', '5.97', '37.50']
['1276', '8278', '5.97', '39.44']
['1302', '7880', '5.97', '41.38']
['1335', '7381', '5.97', '43.33']
['1371', '6934', '5.97', '45.27']
['1412', '6394', '5.97', '47.22']
['1457', '5876', '5.97', '49.16']
['1513', '5384', '5.97', '51.10']
['1573', '4951', '5.97', '53.05']
['1623', '5932', '5.97', '54.99']
['1607', '5270', '5.97', '56.94']
['1562', '4981', '5.97', '58.88']
['1524', '5152', '5.97', '60.82']
['1490', '5421', '5.97', '62.77']
['1462', '5728', '5.97', '64.71']
['1421', '6066', '5.97', '66.66']
['1390', '5881', '5.97', '68.60']
['1372', '6273', '5.97', '70.55']
['1350', '6607', '5.97', '72.49']
['1327', '6867', '5.97', '74.43']
['1310', '7149', '5.97', '76.38']
['1295', '7448', '5.97', '78.32']
['1283', '7597', '5.97', '80.27']
['1272', '7804', '5.97', '82.21']
['1263', '8050', '5.97', '84.15']
['1255', '8199', '5.97', '86.10']
['1247', '8366', '5.97', '88.04']
['1243', '8626', '5.97', '89.99']
['1239', '8752', '5.97', '91.93']
['1237', '8943', '5.97', '93.87']
['1235', '8923', '5.97', '95.82']
['1235', '8854', '5.97', '97.76']
['1238', '8745', '5.97', '99.71']
['1240', '8620', '5.97', '101.65']
['1244', '8484', '5.97', '103.59']
['1250', '8334', '5.97', '105.54']
['1256', '8223', '5.97', '107.48']
['1265', '7969', '5.97', '109.43']
['1277', '7769', '5.97', '111.37']
['1289', '7520', '5.97', '113.31']
['1301', '7375', '5.97', '115.26']
['1316', '7075', '5.97', '117.20']
['1334', '6853', '5.97', '119.15']
['1354', '6560', '5.97', '121.09']
['1379', '6264', '5.97', '123.03']
['1403', '5988', '5.97', '124.98']
['1432', '5647', '5.97', '126.92']
['1462', '5351', '5.97', '128.87']
['1487', '5099', '5.97', '130.81']
['1524', '4758', '5.97', '132.75']
['1568', '4453', '5.97', '134.70']
['1612', '4111', '5.97', '136.64']
['1659', '3802', '5.97', '138.59']
['1716', '3496', '5.97', '140.53']
['1772', '3209', '5.97', '142.47']
['1839', '3304', '5.97', '144.42']
['1852', '3548', '5.97', '146.36']
['1790', '2724', '5.97', '148.31']
['1721', '3047', '7.97', '150.25']
['1115', '11496', '7.97', '20.00']
['1114', '11498', '7.97', '21.94']
['1126', '11193', '7.97', '23.89']
['1134', '10996', '7.97', '25.83']
['1146', '10751', '7.97', '27.78']
['1161', '10425', '7.97', '29.72']
['1178', '10011', '7.97', '31.66']
['1198', '9617', '7.97', '33.61']
['1222', '9235', '7.97', '35.55']
['1243', '8817', '7.97', '37.50']
['1271', '8388', '7.97', '39.44']
['1302', '7852', '7.97', '41.38']
['1336', '7393', '7.97', '43.33']
['1370', '6949', '7.97', '45.27']
['1411', '6425', '7.97', '47.22']
['1457', '5830', '7.97', '49.16']
['1512', '5360', '7.97', '51.10']
['1562', '5030', '7.97', '53.05']
['1621', '5694', '7.97', '54.99']
['1617', '5373', '7.97', '56.94']
['1569', '4926', '7.97', '58.88']
['1534', '5098', '7.97', '60.82']
['1498', '5355', '7.97', '62.77']
['1470', '5684', '7.97', '64.71']
['1428', '5929', '7.97', '66.66']
['1402', '5825', '7.97', '68.60']
['1378', '6074', '7.97', '70.55']
['1356', '6476', '7.97', '72.49']
['1336', '6744', '7.97', '74.43']
['1317', '7060', '7.97', '76.38']
['1304', '7271', '7.97', '78.32']
['1291', '7475', '7.97', '80.27']
['1278', '7646', '7.97', '82.21']
['1269', '7889', '7.97', '84.15']
['1260', '8039', '7.97', '86.10']
['1255', '8240', '7.97', '88.04']
['1249', '8379', '7.97', '89.99']
['1245', '8488', '7.97', '91.93']
['1242', '8560', '7.97', '93.87']
['1240', '8627', '7.97', '95.82']
['1242', '8641', '7.97', '97.76']
['1243', '8501', '7.97', '99.71']
['1245', '8422', '7.97', '101.65']
['1251', '8270', '7.97', '103.59']
['1256', '8126', '7.97', '105.54']
['1263', '7992', '7.97', '107.48']
['1275', '7789', '7.97', '109.43']
['1284', '7601', '7.97', '111.37']
['1293', '7411', '7.97', '113.31']
['1307', '7226', '7.97', '115.26']
['1323', '6975', '7.97', '117.20']
['1343', '6707', '7.97', '119.15']
['1363', '6454', '7.97', '121.09']
['1388', '6156', '7.97', '123.03']
['1412', '5889', '7.97', '124.98']
['1441', '5578', '7.97', '126.92']
['1467', '5346', '7.97', '128.87']
['1495', '5047', '7.97', '130.81']
['1539', '4689', '7.97', '132.75']
['1578', '4367', '7.97', '134.70']
['1618', '4022', '7.97', '136.64']
['1671', '3724', '7.97', '138.59']
['1729', '3430', '7.97', '140.53']
['1783', '3161', '7.97', '142.47']
['1843', '3215', '7.97', '144.42']
['1856', '3762', '7.97', '146.36']
['1786', '2784', '7.97', '148.31']
['1726', '3008', '9.96', '150.25']
['1116', '11444', '9.96', '20.00']
['1114', '11488', '9.96', '21.94']
['1125', '11174', '9.96', '23.89']
['1133', '11042', '9.96', '25.83']
['1146', '10784', '9.96', '27.78']
['1161', '10403', '9.96', '29.72']
['1179', '10039', '9.96', '31.66']
['1201', '9613', '9.96', '33.61']
['1216', '9303', '9.96', '35.55']
['1243', '8816', '9.96', '37.50']
['1270', '8374', '9.96', '39.44']
['1301', '7863', '9.96', '41.38']
['1335', '7378', '9.96', '43.33']
['1370', '6954', '9.96', '45.27']
['1413', '6450', '9.96', '47.22']
['1456', '5856', '9.96', '49.16']
['1500', '5450', '9.96', '51.10']
['1557', '5019', '9.96', '53.05']
['1622', '5454', '9.96', '54.99']
['1626', '5477', '9.96', '56.94']
['1579', '4880', '9.96', '58.88']
['1542', '5024', '9.96', '60.82']
['1509', '5276', '9.96', '62.77']
['1485', '5541', '9.96', '64.71']
['1455', '5794', '9.96', '66.66']
['1410', '5727', '9.96', '68.60']
['1385', '5868', '9.96', '70.55']
['1364', '6374', '9.96', '72.49']
['1342', '6639', '9.96', '74.43']
['1326', '6925', '9.96', '76.38']
['1312', '7172', '9.96', '78.32']
['1300', '7337', '9.96', '80.27']
['1286', '7499', '9.96', '82.21']
['1279', '7692', '9.96', '84.15']
['1270', '7879', '9.96', '86.10']
['1262', '8035', '9.96', '88.04']
['1257', '8213', '9.96', '89.99']
['1252', '8300', '9.96', '91.93']
['1251', '8290', '9.96', '93.87']
['1249', '8340', '9.96', '95.82']
['1249', '8350', '9.96', '97.76']
['1251', '8282', '9.96', '99.71']
['1255', '8219', '9.96', '101.65']
['1260', '8111', '9.96', '103.59']
['1266', '7948', '9.96', '105.54']
['1273', '7874', '9.96', '107.48']
['1281', '7705', '9.96', '109.43']
['1290', '7496', '9.96', '111.37']
['1302', '7277', '9.96', '113.31']
['1316', '7103', '9.96', '115.26']
['1333', '6863', '9.96', '117.20']
['1353', '6587', '9.96', '119.15']
['1374', '6325', '9.96', '121.09']
['1395', '6037', '9.96', '123.03']
['1417', '5826', '9.96', '124.98']
['1445', '5549', '9.96', '126.92']
['1476', '5265', '9.96', '128.87']
['1508', '4949', '9.96', '130.81']
['1546', '4627', '9.96', '132.75']
['1586', '4303', '9.96', '134.70']
['1633', '3956', '9.96', '136.64']
['1687', '3656', '9.96', '138.59']
['1729', '3407', '9.96', '140.53']
['1784', '3137', '9.96', '142.47']
