['1110', '11748', '0.00', '20.00']
['1111', '11759', '0.00', '21.94']
['1125', '11400', '0.00', '23.89']
['1142', '11002', '0.00', '25.83']
['1157', '10674', '0.00', '27.78']
['1173', '10266', '0.00', '29.72']
['1188', '9866', '0.00', '31.66']
['1210', '9460', '0.00', '33.61']
['1233', '9076', '0.00', '35.55']
['1260', '8543', '0.00', '37.50']
['1286', '8114', '0.00', '39.44']
['1318', '7617', '0.00', '41.38']
['1354', '7171', '0.00', '43.33']
['1383', '6796', '0.00', '45.27']
['1420', '6350', '0.00', '47.22']
['1464', '5912', '0.00', '49.16']
['1522', '5739', '0.00', '51.10']
['1552', '5105', '0.00', '53.05']
['1534', '4048', '0.00', '54.99']
['1568', '3467', '0.00', '56.94']
['1559', '3380', '0.00', '58.88']
['1499', '3887', '0.00', '60.82']
['1447', '4130', '0.00', '62.77']
['1403', '4514', '0.00', '64.71']
['1361', '4987', '0.00', '66.66']
['1321', '5525', '0.00', '68.60']
['1294', '6026', '0.00', '70.55']
['1256', '6676', '0.00', '72.49']
['1234', '6919', '0.00', '74.43']
['1218', '7325', '0.00', '76.38']
['1197', '7886', '0.00', '78.32']
['1182', '8460', '0.00', '80.27']
['1170', '8850', '0.00', '82.21']
['1162', '9153', '0.00', '84.15']
['1153', '9838', '0.00', '86.10']
['1148', '10394', '0.00', '88.04']
['1141', '11053', '0.00', '89.99']
['1138', '11782', '0.00', '91.93']
['1136', '12367', '0.00', '93.87']
['1137', '12211', '0.00', '95.82']
['1137', '11902', '0.00', '97.76']
['1139', '11443', '0.00', '99.71']
['1142', '10967', '0.00', '101.65']
['1145', '10710', '0.00', '103.59']
['1149', '10483', '0.00', '105.54']
['1156', '10122', '0.00', '107.48']
['1165', '9779', '0.00', '109.43']
['1175', '9499', '0.00', '111.37']
['1187', '9199', '0.00', '113.31']
['1202', '8931', '0.00', '115.26']
['1219', '8603', '0.00', '117.20']
['1230', '8357', '0.00', '119.15']
['1251', '8013', '0.00', '121.09']
['1272', '7710', '0.00', '123.03']
['1294', '7359', '0.00', '124.98']
['1323', '6969', '0.00', '126.92']
['1349', '6635', '0.00', '128.87']
['1380', '6227', '0.00', '130.81']
['1411', '5901', '0.00', '132.75']
['1448', '5491', '0.00', '134.70']
['1491', '5076', '0.00', '136.64']
['1537', '4714', '0.00', '138.59']
['1591', '4310', '0.00', '140.53']
['1641', '3921', '0.00', '142.47']
['1713', '4082', '0.00', '144.42']
['1767', '3177', '0.00', '146.36']
['1770', '3841', '0.00', '148.31']
['1700', '3303', '1.99', '150.25']
['1123', '11362', '1.99', '20.00']
['1057', '13359', '1.99', '20.00']
