['1093', '12825', '0.00', '20.00']
['1091', '12823', '0.00', '20.35']
['1095', '12729', '0.00', '20.71']
['1096', '12677', '0.00', '21.06']
['1095', '12686', '0.00', '21.41']
['1100', '12629', '0.00', '21.77']
['1100', '12559', '0.00', '22.12']
['1103', '12500', '0.00', '22.47']
['1105', '12560', '0.00', '22.83']
['1107', '12389', '0.00', '23.18']
['1110', '12418', '0.00', '23.53']
['1112', '12255', '0.00', '23.89']
['1114', '12244', '0.00', '24.24']
['1117', '12165', '0.00', '24.60']
['1119', '12078', '0.00', '24.95']
['1122', '12073', '0.00', '25.30']
['1123', '11951', '0.00', '25.66']
['1125', '11969', '0.00', '26.01']
['1130', '11863', '0.00', '26.36']
['1132', '11750', '0.00', '26.72']
['1135', '11630', '0.00', '27.07']
['1138', '11555', '0.00', '27.42']
['1143', '11533', '0.00', '27.78']
['1144', '11437', '0.00', '28.13']
['1148', '11306', '0.00', '28.48']
['1149', '11288', '0.00', '28.84']
['1153', '11325', '0.00', '29.19']
['1156', '11179', '0.00', '29.54']
['1159', '11066', '0.00', '29.90']
['1162', '11072', '0.00', '30.25']
['1166', '10951', '0.00', '30.60']
['1169', '10870', '0.00', '30.96']
['1173', '10804', '0.00', '31.31']
['1175', '10705', '0.00', '31.66']
['1176', '10688', '0.00', '32.02']
['1181', '10571', '0.00', '32.37']
['1185', '10485', '0.00', '32.72']
['1188', '10461', '0.00', '33.08']
['1192', '10282', '0.00', '33.43']
['1197', '10188', '0.00', '33.79']
['1201', '10137', '0.00', '34.14']
['1202', '10110', '0.00', '34.49']
['1207', '10009', '0.00', '34.85']
['1212', '9911', '0.00', '35.20']
['1215', '9818', '0.00', '35.55']
['1219', '9751', '0.00', '35.91']
['1224', '9686', '0.00', '36.26']
['1228', '9609', '0.00', '36.61']
['1233', '9467', '0.00', '36.97']
['1238', '9431', '0.00', '37.32']
['1243', '9327', '0.00', '37.67']
['1246', '9221', '0.00', '38.03']
['1251', '9142', '0.00', '38.38']
['1256', '9091', '0.00', '38.73']
['1259', '8967', '0.00', '39.09']
['1266', '8913', '0.00', '39.44']
['1270', '8834', '0.00', '39.79']
['1274', '8697', '0.00', '40.15']
['1281', '8628', '0.00', '40.50']
['1287', '8523', '0.00', '40.85']
['1292', '8480', '0.00', '41.21']
['1298', '8327', '0.00', '41.56']
['1303', '8294', '0.00', '41.91']
