['1097', '12432', '0.00', '20.00']
['1104', '12218', '0.00', '21.94']
['1119', '11889', '0.00', '23.89']
['1134', '11497', '0.00', '25.83']
['1147', '11134', '0.00', '27.78']
['1163', '10767', '0.00', '29.72']
['1181', '10357', '0.00', '31.66']
['1202', '9923', '0.00', '33.61']
['1224', '9481', '0.00', '35.55']
['1251', '8962', '0.00', '37.50']
['1278', '8520', '0.00', '39.44']
['1304', '8106', '0.00', '41.38']
['1337', '7616', '0.00', '43.33']
['1374', '7116', '0.00', '45.27']
['1416', '6599', '0.00', '47.22']
['1460', '6179', '0.00', '49.16']
['1517', '6306', '0.00', '51.10']
['1527', '6311', '0.00', '53.05']
['1489', '5503', '0.00', '54.99']
['1450', '5683', '0.00', '56.94']
['1407', '6098', '0.00', '58.88']
['1374', '6477', '0.00', '60.82']
['1345', '6812', '0.00', '62.77']
['1314', '7216', '0.00', '64.71']
['1291', '7557', '0.00', '66.66']
['1271', '7830', '0.00', '68.60']
['1250', '8189', '0.00', '70.55']
['1230', '8593', '0.00', '72.49']
['1212', '8932', '0.00', '74.43']
['1196', '9375', '0.00', '76.38']
['1183', '9729', '0.00', '78.32']
['1172', '9941', '0.00', '80.27']
['1161', '10286', '0.00', '82.21']
['1151', '10583', '0.00', '84.15']
['1144', '10969', '0.00', '86.10']
['1139', '11501', '0.00', '88.04']
['1134', '11983', '0.00', '89.99']
['1131', '12637', '0.00', '91.93']
['1131', '12950', '0.00', '93.87']
['1131', '13061', '0.00', '95.82']
['1130', '12971', '0.00', '97.76']
['1133', '12519', '0.00', '99.71']
['1135', '12007', '0.00', '101.65']
['1141', '11371', '0.00', '103.59']
['1146', '10913', '0.00', '105.54']
['1154', '10568', '0.00', '107.48']
['1161', '10304', '0.00', '109.43']
['1170', '9997', '0.00', '111.37']
['1184', '9683', '0.00', '113.31']
['1196', '9378', '0.00', '115.26']
['1212', '9037', '0.00', '117.20']
['1230', '8701', '0.00', '119.15']
['1252', '8351', '0.00', '121.09']
['1273', '8011', '0.00', '123.03']
['1289', '7716', '0.00', '124.98']
['1317', '7315', '0.00', '126.92']
['1345', '6936', '0.00', '128.87']
['1375', '6522', '0.00', '130.81']
['1412', '6096', '0.00', '132.75']
['1451', '5672', '0.00', '134.70']
['1494', '5250', '0.00', '136.64']
['1529', '4920', '0.00', '138.59']
['1580', '4531', '0.00', '140.53']
['1635', '4134', '0.00', '142.47']
['1706', '4277', '0.00', '144.42']
['1760', '3493', '0.00', '146.36']
['1756', '3573', '0.00', '148.31']
['1697', '3329', '1.99', '150.25']
['1118', '11864', '1.99', '20.00']
['1121', '11842', '1.99', '21.94']
['1132', '11498', '1.99', '23.89']
['1141', '11313', '1.99', '25.83']
['1150', '11101', '1.99', '27.78']
['1167', '10697', '1.99', '29.72']
['1182', '10355', '1.99', '31.66']
['1201', '9904', '1.99', '33.61']
['1226', '9423', '1.99', '35.55']
['1251', '8917', '1.99', '37.50']
