['1089', '6644', '0.00', '20.00']
['1091', '6624', '0.00', '21.94']
['1106', '6335', '0.00', '23.89']
['1122', '6069', '0.00', '25.83']
['1144', '5811', '0.00', '27.78']
['1164', '5523', '0.00', '29.72']
['1189', '5221', '0.00', '31.66']
['1214', '4924', '0.00', '33.61']
['1237', '4671', '0.00', '35.55']
['1271', '4365', '0.00', '37.50']
['1303', '4102', '0.00', '39.44']
['1349', '3829', '0.00', '41.38']
['1388', '3619', '0.00', '43.33']
['1430', '3552', '0.00', '45.27']
['1469', '3801', '0.00', '47.22']
['1455', '3422', '0.00', '49.16']
['1426', '3174', '0.00', '51.10']
['1386', '3231', '0.00', '53.05']
['1347', '3390', '0.00', '54.99']
['1309', '3569', '0.00', '56.94']
['1281', '3789', '0.00', '58.88']
['1254', '4017', '0.00', '60.82']
['1230', '4233', '0.00', '62.77']
['1209', '4463', '0.00', '64.71']
['1192', '4627', '0.00', '66.66']
['1171', '4843', '0.00', '68.60']
['1155', '5032', '0.00', '70.55']
['1139', '5230', '0.00', '72.49']
['1124', '5430', '0.00', '74.43']
['1114', '5623', '0.00', '76.38']
['1102', '5785', '0.00', '78.32']
['1098', '5906', '0.00', '80.27']
['1087', '6081', '0.00', '82.21']
['1080', '6242', '0.00', '84.15']
['1074', '6412', '0.00', '86.10']
['1068', '6604', '0.00', '88.04']
['1063', '6815', '0.00', '89.99']
['1059', '7037', '0.00', '91.93']
['1057', '7228', '0.00', '93.87']
['1054', '7334', '0.00', '95.82']
['1057', '7392', '0.00', '97.76']
['1058', '7364', '0.00', '99.71']
['1058', '7244', '0.00', '101.65']
['1061', '6991', '0.00', '103.59']
['1063', '6746', '0.00', '105.54']
['1068', '6528', '0.00', '107.48']
['1076', '6328', '0.00', '109.43']
['1082', '6173', '0.00', '111.37']
['1091', '5960', '0.00', '113.31']
['1102', '5790', '0.00', '115.26']
['1112', '5584', '0.00', '117.20']
['1126', '5368', '0.00', '119.15']
['1142', '5168', '0.00', '121.09']
['1157', '4971', '0.00', '123.03']
['1177', '4754', '0.00', '124.98']
['1196', '4575', '0.00', '126.92']
['1215', '4358', '0.00', '128.87']
['1241', '4129', '0.00', '130.81']
['1268', '3866', '0.00', '132.75']
['1295', '3618', '0.00', '134.70']
['1329', '3383', '0.00', '136.64']
['1362', '3139', '0.00', '138.59']
['1409', '2907', '0.00', '140.53']
['1434', '2717', '0.00', '142.47']
['1483', '7892', '0.00', '144.42']
['1538', '7177', '0.00', '146.36']
['1603', '6614', '0.00', '148.31']
['1669', '6212', '1.99', '150.25']
['1107', '6309', '1.99', '20.00']
['1105', '6329', '1.99', '21.94']
['1122', '6105', '1.99', '23.89']
['1136', '5912', '1.99', '25.83']
['1148', '5717', '1.99', '27.78']
['1170', '5461', '1.99', '29.72']
