['1717', '0', '0.00', '20.00']
['1065', '0', '0.00', '21.94']
['1071', '0', '0.00', '23.89']
['1072', '0', '0.00', '25.83']
['1072', '0', '0.00', '27.78']
['1073', '0', '0.00', '29.72']
['1077', '0', '0.00', '31.66']
['1078', '0', '0.00', '33.61']
['1078', '0', '0.00', '35.55']
['1083', '0', '0.00', '37.50']
['1088', '0', '0.00', '39.44']
['1092', '0', '0.00', '41.38']
['3572', '0', '0.00', '43.33']
['1540', '0', '0.00', '45.27']
['1535', '0', '0.00', '47.22']
['1531', '0', '0.00', '49.16']
['1526', '0', '0.00', '51.10']
['1526', '0', '0.00', '53.05']
['1526', '0', '0.00', '54.99']
['1526', '0', '0.00', '56.94']
['1531', '0', '0.00', '58.88']
['1535', '0', '0.00', '60.82']
['1535', '0', '0.00', '62.77']
['1122', '0', '0.00', '64.71']
['1118', '0', '0.00', '66.66']
['1117', '0', '0.00', '68.60']
['1117', '0', '0.00', '70.55']
['1112', '0', '0.00', '72.49']
['1112', '0', '0.00', '74.43']
['1111', '0', '0.00', '76.38']
['1111', '0', '0.00', '78.32']
['1110', '0', '0.00', '80.27']
['1110', '0', '0.00', '82.21']
['1105', '0', '0.00', '84.15']
['1100', '0', '0.00', '86.10']
['1100', '0', '0.00', '88.04']
['1095', '0', '0.00', '89.99']
['1095', '0', '0.00', '91.93']
['1095', '0', '0.00', '93.87']
['1090', '0', '0.00', '95.82']
['1090', '0', '0.00', '97.76']
['1090', '0', '0.00', '99.71']
['1090', '0', '0.00', '101.65']
['1095', '0', '0.00', '103.59']
['1095', '0', '0.00', '105.54']
['1095', '0', '0.00', '107.48']
['1095', '0', '0.00', '109.43']
['1100', '0', '0.00', '111.37']
['1105', '0', '0.00', '113.31']
['1105', '0', '0.00', '115.26']
['1110', '0', '0.00', '117.20']
['1111', '0', '0.00', '119.15']
['1111', '0', '0.00', '121.09']
['1111', '0', '0.00', '123.03']
['1112', '0', '0.00', '124.98']
['1113', '0', '0.00', '126.92']
['1118', '0', '0.00', '128.87']
