['2718', '4500', '0.00', '20.00']
['2740', '4424', '0.00', '21.94']
['2768', '4355', '0.00', '23.89']
['2790', '4284', '0.00', '25.83']
['2839', '4145', '0.00', '27.78']
['2886', '3994', '0.00', '29.72']
['2946', '3882', '0.00', '31.66']
['2881', '9080', '0.00', '33.61']
['2693', '7677', '0.00', '35.55']
['2546', '8441', '0.00', '37.50']
['2440', '9230', '0.00', '39.44']
['2318', '10491', '0.00', '41.38']
['2223', '11701', '0.00', '43.33']
['2131', '13437', '0.00', '45.27']
['2052', '15324', '0.00', '47.22']
['1980', '17211', '0.00', '49.16']
['1924', '3500', '0.00', '51.10']
['1879', '3764', '0.00', '53.05']
['1827', '4121', '0.00', '54.99']
['1781', '4469', '0.00', '56.94']
['1731', '4840', '0.00', '58.88']
['1694', '5147', '0.00', '60.82']
['1658', '5577', '0.00', '62.77']
['1632', '5887', '0.00', '64.71']
['1600', '6365', '0.00', '66.66']
['1572', '6875', '0.00', '68.60']
['1543', '7475', '0.00', '70.55']
['1519', '8188', '0.00', '72.49']
['1499', '8762', '0.00', '74.43']
['1481', '9402', '0.00', '76.38']
['1468', '9820', '0.00', '78.32']
['1453', '10599', '0.00', '80.27']
['1439', '11353', '0.00', '82.21']
['1431', '12276', '0.00', '84.15']
['1422', '13323', '0.00', '86.10']
['1417', '14515', '0.00', '88.04']
['1342', '17134', '0.00', '89.99']
['1326', '17983', '0.00', '91.93']
['1314', '16635', '0.00', '93.87']
['1302', '18462', '0.00', '95.82']
['1292', '8938', '0.00', '97.76']
['1286', '6751', '0.00', '99.71']
['1310', '6865', '0.00', '101.65']
['1320', '6725', '0.00', '103.59']
['1329', '5447', '0.00', '105.54']
['1427', '4683', '0.00', '107.48']
['1444', '3954', '0.00', '109.43']
['1474', '3494', '0.00', '111.37']
['1546', '7097', '0.00', '113.31']
['1498', '2406', '0.00', '115.26']
['1572', '2226', '0.00', '117.20']
['1613', '2416', '0.00', '119.15']
['1705', '2516', '0.00', '121.09']
['1733', '2659', '0.00', '123.03']
['1719', '2361', '0.00', '124.98']
['1768', '2454', '0.00', '126.92']
['1733', '1865', '0.00', '128.87']
['1748', '1192', '0.00', '130.81']
['1770', '960', '0.00', '132.75']
['1878', '5360', '0.00', '134.70']
['1829', '10588', '0.00', '136.64']
['1762', '13360', '0.00', '138.59']
['1702', '14388', '0.00', '140.53']
['1645', '15747', '0.00', '142.47']
