['1095', '12297', '0.00', '20.00']
['1102', '12148', '0.00', '21.94']
['1113', '11839', '0.00', '23.89']
['1128', '11400', '0.00', '25.83']
['1141', '11127', '0.00', '27.78']
['1156', '10730', '0.00', '29.72']
['1173', '10364', '0.00', '31.66']
['1195', '9900', '0.00', '33.61']
['1217', '9477', '0.00', '35.55']
['1241', '8951', '0.00', '37.50']
['1270', '8486', '0.00', '39.44']
['1301', '7997', '0.00', '41.38']
['1327', '7610', '0.00', '43.33']
['1363', '7136', '0.00', '45.27']
['1403', '6665', '0.00', '47.22']
['1444', '6221', '0.00', '49.16']
['1496', '5831', '0.00', '51.10']
['1538', '5744', '0.00', '53.05']
['1530', '4297', '0.00', '54.99']
['1509', '4214', '0.00', '56.94']
['1533', '3785', '0.00', '58.88']
['1473', '4117', '0.00', '60.82']
['1427', '4515', '0.00', '62.77']
['1384', '4881', '0.00', '64.71']
['1346', '5456', '0.00', '66.66']
['1300', '6104', '0.00', '68.60']
['1279', '6536', '0.00', '70.55']
['1254', '7049', '0.00', '72.49']
['1229', '7416', '0.00', '74.43']
['1208', '7758', '0.00', '76.38']
['1191', '8314', '0.00', '78.32']
['1179', '8700', '0.00', '80.27']
['1166', '9332', '0.00', '82.21']
['1158', '9592', '0.00', '84.15']
['1150', '9987', '0.00', '86.10']
['1142', '10601', '0.00', '88.04']
['1136', '11291', '0.00', '89.99']
['1133', '11958', '0.00', '91.93']
['1130', '12533', '0.00', '93.87']
['1129', '12873', '0.00', '95.82']
['1130', '12484', '0.00', '97.76']
['1130', '12232', '0.00', '99.71']
['1132', '11924', '0.00', '101.65']
['1136', '11373', '0.00', '103.59']
['1143', '10955', '0.00', '105.54']
['1147', '10558', '0.00', '107.48']
['1156', '10139', '0.00', '109.43']
['1168', '9838', '0.00', '111.37']
['1175', '9651', '0.00', '113.31']
['1189', '9377', '0.00', '115.26']
['1204', '9028', '0.00', '117.20']
['1221', '8709', '0.00', '119.15']
['1238', '8351', '0.00', '121.09']
['1259', '7989', '0.00', '123.03']
['1281', '7670', '0.00', '124.98']
['1307', '7275', '0.00', '126.92']
['1329', '6964', '0.00', '128.87']
['1361', '6615', '0.00', '130.81']
['1396', '6166', '0.00', '132.75']
['1431', '5762', '0.00', '134.70']
['1472', '5304', '0.00', '136.64']
['1517', '4944', '0.00', '138.59']
['1571', '4523', '0.00', '140.53']
['1607', '4241', '0.00', '142.47']
['1671', '3778', '0.00', '144.42']
['1728', '3934', '0.00', '146.36']
['1774', '2330', '0.00', '148.31']
['1745', '3258', '1.99', '148.31']
['1775', '5114', '1.99', '146.36']
['1732', '8597', '1.99', '144.42']
['1673', '8396', '1.99', '142.47']
['1608', '9365', '1.99', '140.53']
['1556', '10174', '1.99', '138.59']
['1503', '11064', '1.99', '136.64']
['1461', '11928', '1.99', '134.70']
['1430', '12698', '1.99', '132.75']
['1394', '13608', '1.99', '130.81']
['1358', '14530', '1.99', '128.87']
['1330', '15340', '1.99', '126.92']
['1302', '16198', '1.99', '124.98']
['1278', '17038', '1.99', '123.03']
['1256', '17751', '1.99', '121.09']
['1237', '18495', '1.99', '119.15']
['1224', '19078', '1.99', '117.20']
['1207', '19769', '1.99', '115.26']
['1189', '9454', '1.99', '113.31']
['1176', '9726', '1.99', '111.37']
['1164', '10016', '1.99', '109.43']
['1153', '10391', '1.99', '107.48']
['1146', '10712', '1.99', '105.54']
['1140', '11156', '1.99', '103.59']
['1137', '11663', '1.99', '101.65']
['1133', '12043', '1.99', '99.71']
['1131', '12617', '1.99', '97.76']
['1129', '12862', '1.99', '95.82']
['1129', '12931', '1.99', '93.87']
['1129', '12825', '1.99', '91.93']
['1131', '12721', '1.99', '89.99']
['1132', '12228', '1.99', '88.04']
['1134', '11808', '1.99', '86.10']
['1138', '11370', '1.99', '84.15']
['1144', '10928', '1.99', '82.21']
['1150', '10502', '1.99', '80.27']
['1161', '10202', '1.99', '78.32']
['1168', '9931', '1.99', '76.38']
['1182', '9603', '1.99', '74.43']
['1192', '9332', '1.99', '72.49']
['1203', '9065', '1.99', '70.55']
['1221', '8668', '1.99', '68.60']
['1239', '8349', '1.99', '66.66']
['1258', '7965', '1.99', '64.71']
['1280', '7641', '1.99', '62.77']
['1304', '7264', '1.99', '60.82']
['1331', '6907', '1.99', '58.88']
['1355', '6598', '1.99', '56.94']
['1386', '6259', '1.99', '54.99']
['1422', '5886', '1.99', '53.05']
['1465', '5552', '1.99', '51.10']
['1515', '5777', '1.99', '49.16']
['1528', '6681', '1.99', '47.22']
['1476', '6009', '1.99', '45.27']
['1434', '6333', '1.99', '43.33']
['1393', '6828', '1.99', '41.38']
['1348', '7383', '1.99', '39.44']
['1310', '7910', '1.99', '37.50']
['1278', '8398', '1.99', '35.55']
['1247', '8915', '1.99', '33.61']
['1225', '9369', '1.99', '31.66']
['1199', '9861', '1.99', '29.72']
['1180', '10246', '1.99', '27.78']
['1163', '10669', '1.99', '25.83']
['1145', '11134', '1.99', '23.89']
['1128', '11481', '1.99', '21.94']
['1108', '11967', '3.98', '20.00']
['1115', '11853', '3.98', '21.94']
['1126', '11528', '3.98', '23.89']
['1135', '11355', '3.98', '25.83']
['1142', '11149', '3.98', '27.78']
['1158', '10795', '3.98', '29.72']
['1176', '10387', '3.98', '31.66']
['1195', '9925', '3.98', '33.61']
['1219', '9489', '3.98', '35.55']
['1245', '8999', '3.98', '37.50']
['1273', '8499', '3.98', '39.44']
['1297', '8137', '3.98', '41.38']
['1330', '7611', '3.98', '43.33']
['1365', '7121', '3.98', '45.27']
['1406', '6614', '3.98', '47.22']
['1452', '6188', '3.98', '49.16']
['1500', '5966', '3.98', '51.10']
['1533', '6732', '3.98', '53.05']
['1510', '5727', '3.98', '54.99']
['1465', '5611', '3.98', '56.94']
['1425', '5920', '3.98', '58.88']
['1387', '6310', '3.98', '60.82']
['1355', '6605', '3.98', '62.77']
['1324', '7017', '3.98', '64.71']
['1300', '7350', '3.98', '66.66']
['1280', '7709', '3.98', '68.60']
['1256', '8048', '3.98', '70.55']
['1239', '8386', '3.98', '72.49']
['1218', '8782', '3.98', '74.43']
['1201', '9118', '3.98', '76.38']
['1189', '9446', '3.98', '78.32']
['1177', '9726', '3.98', '80.27']
['1167', '10008', '3.98', '82.21']
['1158', '10308', '3.98', '84.15']
['1150', '10554', '3.98', '86.10']
['1144', '10949', '3.98', '88.04']
['1138', '11412', '3.98', '89.99']
['1133', '11915', '3.98', '91.93']
['1133', '12299', '3.98', '93.87']
['1131', '12436', '3.98', '95.82']
['1132', '12418', '3.98', '97.76']
['1133', '12156', '3.98', '99.71']
['1136', '11721', '3.98', '101.65']
['1141', '11229', '3.98', '103.59']
['1146', '10788', '3.98', '105.54']
['1152', '10532', '3.98', '107.48']
['1160', '10190', '3.98', '109.43']
['1170', '9869', '3.98', '111.37']
['1179', '9652', '3.98', '113.31']
['1191', '9348', '3.98', '115.26']
['1207', '9014', '3.98', '117.20']
['1224', '8712', '3.98', '119.15']
['1243', '8321', '3.98', '121.09']
['1263', '7978', '3.98', '123.03']
['1285', '7662', '3.98', '124.98']
['1312', '7259', '3.98', '126.92']
['1333', '6959', '3.98', '128.87']
['1363', '6571', '3.98', '130.81']
['1398', '6154', '3.98', '132.75']
['1434', '5729', '3.98', '134.70']
['1476', '5324', '3.98', '136.64']
['1520', '4918', '3.98', '138.59']
['1572', '4488', '3.98', '140.53']
['1614', '4206', '3.98', '142.47']
['1674', '3807', '3.98', '144.42']
['1733', '3922', '3.98', '146.36']
['1775', '2239', '3.98', '148.31']
['1743', '3240', '5.97', '148.31']
['1782', '4700', '5.97', '146.36']
['1741', '8418', '5.97', '144.42']
['1681', '8315', '5.97', '142.47']
['1617', '9204', '5.97', '140.53']
['1563', '10048', '5.97', '138.59']
['1512', '10987', '5.97', '136.64']
['1471', '11888', '5.97', '134.70']
['1439', '12564', '5.97', '132.75']
['1403', '13380', '5.97', '130.81']
['1366', '14331', '5.97', '128.87']
['1338', '15104', '5.97', '126.92']
['1310', '15975', '5.97', '124.98']
['1285', '16847', '5.97', '123.03']
['1265', '17517', '5.97', '121.09']
['1244', '18238', '5.97', '119.15']
['1228', '18904', '5.97', '117.20']
['1214', '19455', '5.97', '115.26']
['1196', '9327', '5.97', '113.31']
['1184', '9606', '5.97', '111.37']
['1171', '9882', '5.97', '109.43']
['1161', '10196', '5.97', '107.48']
['1153', '10503', '5.97', '105.54']
['1148', '10780', '5.97', '103.59']
['1143', '11102', '5.97', '101.65']
['1140', '11408', '5.97', '99.71']
['1138', '11723', '5.97', '97.76']
['1135', '11829', '5.97', '95.82']
['1137', '11877', '5.97', '93.87']
['1136', '11859', '5.97', '91.93']
['1137', '11767', '5.97', '89.99']
['1139', '11492', '5.97', '88.04']
['1140', '11220', '5.97', '86.10']
['1146', '10883', '5.97', '84.15']
['1151', '10625', '5.97', '82.21']
['1159', '10304', '5.97', '80.27']
['1167', '10067', '5.97', '78.32']
['1176', '9783', '5.97', '76.38']
['1187', '9506', '5.97', '74.43']
['1200', '9241', '5.97', '72.49']
['1212', '8983', '5.97', '70.55']
['1230', '8635', '5.97', '68.60']
['1246', '8306', '5.97', '66.66']
['1265', '7970', '5.97', '64.71']
['1289', '7583', '5.97', '62.77']
['1310', '7226', '5.97', '60.82']
['1337', '6891', '5.97', '58.88']
['1362', '6569', '5.97', '56.94']
['1395', '6262', '5.97', '54.99']
['1435', '5875', '5.97', '53.05']
