['1094', '13060', '0.00', '20.00']
['1096', '13011', '0.00', '21.94']
['1104', '12805', '0.00', '23.89']
['1118', '12429', '0.00', '25.83']
['1132', '12067', '0.00', '27.78']
['1148', '11641', '0.00', '29.72']
['1165', '11222', '0.00', '31.66']
['1186', '10737', '0.00', '33.61']
['1209', '10253', '0.00', '35.55']
['1234', '9708', '0.00', '37.50']
['1264', '9160', '0.00', '39.44']
['1296', '8603', '0.00', '41.38']
['1324', '8166', '0.00', '43.33']
['1361', '7602', '0.00', '45.27']
['1405', '7078', '0.00', '47.22']
['1453', '6598', '0.00', '49.16']
['1505', '6745', '0.00', '51.10']
['1516', '6042', '0.00', '53.05']
['1481', '5092', '0.00', '54.99']
['1442', '5179', '0.00', '56.94']
['1408', '5432', '0.00', '58.88']
['1369', '5957', '0.00', '60.82']
['1338', '6272', '0.00', '62.77']
['1309', '6687', '0.00', '64.71']
['1283', '7173', '0.00', '66.66']
['1264', '7597', '0.00', '68.60']
['1243', '8060', '0.00', '70.55']
['1223', '8472', '0.00', '72.49']
['1203', '8688', '0.00', '74.43']
['1187', '9180', '0.00', '76.38']
['1172', '9605', '0.00', '78.32']
['1164', '9873', '0.00', '80.27']
['1152', '10327', '0.00', '82.21']
['1143', '10709', '0.00', '84.15']
['1136', '11126', '0.00', '86.10']
['1128', '11643', '0.00', '88.04']
['1124', '12293', '0.00', '89.99']
['1119', '13011', '0.00', '91.93']
['1118', '13507', '0.00', '93.87']
['1116', '14004', '0.00', '95.82']
['1115', '13845', '0.00', '97.76']
['1117', '13147', '0.00', '99.71']
['1121', '12575', '0.00', '101.65']
['1123', '12189', '0.00', '103.59']
['1129', '11833', '0.00', '105.54']
['1131', '11544', '0.00', '107.48']
['1139', '11145', '0.00', '109.43']
['1151', '10799', '0.00', '111.37']
['1161', '10452', '0.00', '113.31']
['1174', '10159', '0.00', '115.26']
['1189', '9822', '0.00', '117.20']
['1206', '9423', '0.00', '119.15']
['1221', '9133', '0.00', '121.09']
['1240', '8783', '0.00', '123.03']
['1261', '8409', '0.00', '124.98']
['1285', '8003', '0.00', '126.92']
['1313', '7590', '0.00', '128.87']
['1341', '7212', '0.00', '130.81']
['1368', '6858', '0.00', '132.75']
['1405', '6395', '0.00', '134.70']
['1447', '5895', '0.00', '136.64']
['1488', '5467', '0.00', '138.59']
['1541', '5022', '0.00', '140.53']
['1591', '4608', '0.00', '142.47']
['1655', '4084', '0.00', '144.42']
['1706', '4313', '0.00', '146.36']
['1759', '3075', '0.00', '148.31']
['1710', '3367', '1.99', '150.25']
['1103', '12845', '1.99', '20.00']
['1104', '12803', '1.99', '21.94']
['1116', '12442', '1.99', '23.89']
['1131', '12074', '1.99', '25.83']
['1146', '11705', '1.99', '27.78']
['1158', '11412', '1.99', '29.72']
['1165', '11232', '1.99', '31.66']
['1186', '10713', '1.99', '33.61']
['1208', '10270', '1.99', '35.55']
['1235', '9686', '1.99', '37.50']
['1264', '9151', '1.99', '39.44']
['1296', '8652', '1.99', '41.38']
['1326', '8164', '1.99', '43.33']
['1363', '7605', '1.99', '45.27']
['1405', '7073', '1.99', '47.22']
['1453', '6597', '1.99', '49.16']
['1508', '6817', '1.99', '51.10']
['1514', '6773', '1.99', '53.05']
['1468', '5910', '1.99', '54.99']
['1435', '6138', '1.99', '56.94']
['1397', '6510', '1.99', '58.88']
['1360', '6912', '1.99', '60.82']
['1331', '7261', '1.99', '62.77']
['1304', '7689', '1.99', '64.71']
['1279', '8065', '1.99', '66.66']
['1260', '8367', '1.99', '68.60']
['1239', '8756', '1.99', '70.55']
['1220', '9126', '1.99', '72.49']
['1201', '9566', '1.99', '74.43']
['1185', '9958', '1.99', '76.38']
['1171', '10331', '1.99', '78.32']
['1159', '10642', '1.99', '80.27']
['1149', '10935', '1.99', '82.21']
['1141', '11214', '1.99', '84.15']
['1135', '11614', '1.99', '86.10']
['1127', '12170', '1.99', '88.04']
['1123', '12645', '1.99', '89.99']
['1118', '13350', '1.99', '91.93']
['1118', '13831', '1.99', '93.87']
['1117', '13990', '1.99', '95.82']
['1117', '14061', '1.99', '97.76']
['1118', '13759', '1.99', '99.71']
['1120', '13227', '1.99', '101.65']
['1124', '12502', '1.99', '103.59']
['1129', '11967', '1.99', '105.54']
['1136', '11527', '1.99', '107.48']
['1142', '11282', '1.99', '109.43']
['1151', '10881', '1.99', '111.37']
['1162', '10560', '1.99', '113.31']
['1175', '10210', '1.99', '115.26']
['1189', '9862', '1.99', '117.20']
['1207', '9502', '1.99', '119.15']
['1225', '9145', '1.99', '121.09']
['1241', '8817', '1.99', '123.03']
['1263', '8484', '1.99', '124.98']
['1287', '8055', '1.99', '126.92']
['1315', '7646', '1.99', '128.87']
['1342', '7241', '1.99', '130.81']
['1378', '6768', '1.99', '132.75']
['1416', '6308', '1.99', '134.70']
['1448', '5918', '1.99', '136.64']
['1487', '5479', '1.99', '138.59']
['1539', '5019', '1.99', '140.53']
['1592', '4616', '1.99', '142.47']
['1652', '4132', '1.99', '144.42']
['1712', '4380', '1.99', '146.36']
['1763', '2733', '1.99', '148.31']
['1712', '3377', '3.98', '150.25']
['1104', '12841', '3.98', '20.00']
['1105', '12804', '3.98', '21.94']
['1116', '12431', '3.98', '23.89']
['1130', '12084', '3.98', '25.83']
['1147', '11715', '3.98', '27.78']
['1159', '11426', '3.98', '29.72']
['1169', '11164', '3.98', '31.66']
['1188', '10736', '3.98', '33.61']
['1209', '10275', '3.98', '35.55']
['1236', '9700', '3.98', '37.50']
['1263', '9173', '3.98', '39.44']
['1296', '8656', '3.98', '41.38']
['1333', '8084', '3.98', '43.33']
['1369', '7527', '3.98', '45.27']
['1404', '7106', '3.98', '47.22']
['1451', '6661', '3.98', '49.16']
['1505', '6645', '3.98', '51.10']
['1518', '6903', '3.98', '53.05']
['1474', '5940', '3.98', '54.99']
['1434', '6218', '3.98', '56.94']
['1397', '6593', '3.98', '58.88']
['1367', '6909', '3.98', '60.82']
['1336', '7250', '3.98', '62.77']
['1309', '7675', '3.98', '64.71']
['1283', '8065', '3.98', '66.66']
['1259', '8485', '3.98', '68.60']
['1238', '8890', '3.98', '70.55']
['1224', '9164', '3.98', '72.49']
['1205', '9570', '3.98', '74.43']
['1190', '9954', '3.98', '76.38']
['1174', '10333', '3.98', '78.32']
['1163', '10585', '3.98', '80.27']
['1153', '10925', '3.98', '82.21']
['1144', '11265', '3.98', '84.15']
