['1090', '12353', '0.00', '20.00']
['1090', '12355', '0.00', '20.88']
['1093', '12281', '0.00', '21.77']
['1099', '12151', '0.00', '22.65']
['1104', '12060', '0.00', '23.53']
['1109', '11880', '0.00', '24.42']
['1117', '11653', '0.00', '25.30']
['1123', '11486', '0.00', '26.19']
['1129', '11370', '0.00', '27.07']
['1137', '11162', '0.00', '27.95']
['1144', '10996', '0.00', '28.84']
['1150', '10878', '0.00', '29.72']
['1159', '10645', '0.00', '30.60']
['1166', '10485', '0.00', '31.49']
['1172', '10356', '0.00', '32.37']
['1184', '10098', '0.00', '33.25']
['1193', '9912', '0.00', '34.14']
['1200', '9754', '0.00', '35.02']
['1215', '9499', '0.00', '35.91']
['1224', '9310', '0.00', '36.79']
['1234', '9162', '0.00', '37.67']
['1248', '8847', '0.00', '38.56']
['1258', '8682', '0.00', '39.44']
['1269', '8485', '0.00', '40.32']
['1285', '8243', '0.00', '41.21']
['1298', '8021', '0.00', '42.09']
['1310', '7884', '0.00', '42.98']
['1330', '7556', '0.00', '43.86']
['1343', '7380', '0.00', '44.74']
['1358', '7176', '0.00', '45.63']
['1373', '7022', '0.00', '46.51']
['1395', '6716', '0.00', '47.39']
['1411', '6546', '0.00', '48.28']
['1428', '6341', '0.00', '49.16']
['1453', '6137', '0.00', '50.04']
['1473', '5972', '0.00', '50.93']
['1492', '5896', '0.00', '51.81']
['1527', '6484', '0.00', '52.70']
['1531', '6599', '0.00', '53.58']
['1527', '6200', '0.00', '54.46']
['1504', '5417', '0.00', '55.35']
['1486', '5302', '0.00', '56.23']
['1470', '5352', '0.00', '57.11']
['1448', '5487', '0.00', '58.00']
['1434', '5637', '0.00', '58.88']
['1416', '5799', '0.00', '59.76']
['1394', '6110', '0.00', '60.65']
['1381', '6233', '0.00', '61.53']
['1368', '6388', '0.00', '62.42']
['1353', '6584', '0.00', '63.30']
['1341', '6698', '0.00', '64.18']
['1333', '6839', '0.00', '65.07']
['1316', '7091', '0.00', '65.95']
['1305', '7193', '0.00', '66.83']
['1298', '7323', '0.00', '67.72']
['1287', '7440', '0.00', '68.60']
['1273', '7684', '0.00', '69.48']
['1266', '7790', '0.00', '70.37']
['1258', '7951', '0.00', '71.25']
['1245', '8157', '0.00', '72.14']
['1238', '8326', '0.00', '73.02']
['1229', '8469', '0.00', '73.90']
['1218', '8594', '0.00', '74.79']
['1212', '8714', '0.00', '75.67']
