['2074', '4779', '0.00', '88.00']
['2076', '4785', '0.00', '86.00']
['2074', '4780', '0.00', '84.00']
['2077', '4784', '0.00', '82.00']
['2076', '4780', '0.00', '80.00']
['2075', '4778', '0.00', '78.00']
['2077', '4781', '0.00', '76.00']
['2077', '4781', '0.00', '74.00']
['2074', '4787', '0.00', '72.00']
['2076', '4777', '0.00', '70.00']
['2073', '4781', '0.00', '68.00']
['2072', '4776', '0.00', '66.00']
['2076', '4781', '0.00', '64.00']
['2076', '4777', '0.00', '62.00']
['2076', '4776', '0.00', '60.00']
['2075', '4774', '0.00', '58.00']
['2075', '4777', '0.00', '56.00']
['2074', '4780', '0.00', '54.00']
['2073', '4783', '0.00', '52.00']
['2074', '4778', '0.00', '50.00']
['2074', '4778', '0.00', '48.00']
['2076', '4783', '0.00', '46.00']
['2076', '4783', '0.00', '44.00']
['2072', '4781', '0.00', '42.00']
['2075', '4783', '0.00', '40.00']
['2075', '4782', '0.00', '38.00']
['2074', '4781', '0.00', '36.00']
['2075', '4780', '0.00', '34.00']
['2076', '4773', '0.00', '32.00']
['2076', '4774', '0.00', '30.00']
['2074', '4777', '0.00', '28.00']
['2075', '4771', '2.00', '16.00']
['2075', '4776', '2.00', '18.00']
['2075', '4776', '2.00', '20.00']
['2073', '4777', '2.00', '22.00']
['2076', '4774', '2.00', '24.00']
['2075', '4772', '2.00', '26.00']
['2074', '4781', '2.00', '28.00']
['2077', '4768', '2.00', '30.00']
['2076', '4779', '2.00', '32.00']
['2076', '4773', '2.00', '34.00']
['2076', '4773', '2.00', '36.00']
['2076', '4768', '2.00', '38.00']
['2076', '4769', '2.00', '40.00']
['2075', '4767', '2.00', '42.00']
['2075', '4776', '2.00', '44.00']
['2075', '4776', '2.00', '46.00']
['2075', '4767', '2.00', '48.00']
['2075', '4767', '2.00', '50.00']
['2076', '4769', '2.00', '52.00']
['2074', '4760', '2.00', '54.00']
['2076', '4766', '2.00', '56.00']
['2075', '4768', '2.00', '58.00']
['2075', '4772', '2.00', '60.00']
['2075', '4767', '2.00', '62.00']
['2075', '4770', '2.00', '64.00']
['2073', '4770', '2.00', '66.00']
['2076', '4769', '2.00', '68.00']
['2074', '4775', '2.00', '70.00']
['2074', '4768', '2.00', '72.00']
['2078', '4766', '2.00', '74.00']
['2076', '4763', '2.00', '76.00']
['2073', '4774', '2.00', '78.00']
['2077', '4763', '2.00', '80.00']
['2073', '4764', '2.00', '82.00']
['2075', '4774', '2.00', '84.00']
['2076', '4773', '2.00', '86.00']
['2076', '4771', '2.00', '88.00']
['2075', '4768', '2.00', '90.00']
['2075', '4766', '2.00', '92.00']
['2076', '4774', '2.00', '94.00']
['2075', '4767', '2.00', '96.00']
['2075', '4768', '2.00', '98.00']
['2075', '4765', '2.00', '100.00']
['2075', '4769', '2.00', '102.00']
['2077', '4762', '2.00', '104.00']
['2073', '4764', '2.00', '106.00']
['2078', '4762', '2.00', '108.00']
['2076', '4764', '2.00', '110.00']
['2075', '4763', '2.00', '112.00']
['2075', '4766', '2.00', '114.00']
['2075', '4763', '2.00', '116.00']
['2075', '4768', '2.00', '118.00']
['2077', '4762', '2.00', '120.00']
['2075', '4766', '2.00', '122.00']
['2074', '4767', '2.00', '124.00']
['2075', '4763', '2.00', '126.00']
['2076', '4762', '2.00', '128.00']
['2074', '4758', '2.00', '130.00']
['2075', '4761', '2.00', '132.00']
['2077', '4762', '2.00', '134.00']
['2076', '4757', '2.00', '136.00']
['2077', '4764', '2.00', '138.00']
['2076', '4765', '2.00', '140.00']
['2078', '4766', '2.00', '142.00']
['2076', '4756', '2.00', '144.00']
['2076', '4764', '2.00', '146.00']
['2075', '4761', '2.00', '148.00']
['2077', '4757', '4.00', '150.00']
['2078', '4759', '4.00', '148.00']
['2077', '4759', '4.00', '146.00']
['2079', '4762', '4.00', '144.00']
['2077', '4756', '4.00', '142.00']
['2077', '4759', '4.00', '140.00']
['2076', '4762', '4.00', '138.00']
['2080', '4759', '4.00', '136.00']
['2077', '4757', '4.00', '134.00']
['2077', '4755', '4.00', '132.00']
['2079', '4754', '4.00', '130.00']
['2079', '4760', '4.00', '128.00']
['2077', '4758', '4.00', '126.00']
['2077', '4758', '4.00', '124.00']
['2076', '4764', '4.00', '122.00']
['2078', '4757', '4.00', '120.00']
['2076', '4761', '4.00', '118.00']
['2075', '4767', '4.00', '116.00']
['2075', '4762', '4.00', '114.00']
['2079', '4762', '4.00', '112.00']
['2077', '4765', '4.00', '110.00']
['2078', '4764', '4.00', '108.00']
['2076', '4768', '4.00', '106.00']
['2076', '4766', '4.00', '104.00']
['2078', '4758', '4.00', '102.00']
['2077', '4762', '4.00', '100.00']
['2077', '4756', '4.00', '98.00']
['2078', '4765', '4.00', '96.00']
['2076', '4754', '4.00', '94.00']
['2078', '4758', '4.00', '92.00']
['2079', '4753', '4.00', '90.00']
['2076', '4756', '4.00', '88.00']
['2078', '4754', '4.00', '86.00']
['2076', '4762', '4.00', '84.00']
['2077', '4763', '4.00', '82.00']
['2077', '4757', '4.00', '80.00']
['2079', '4761', '4.00', '78.00']
['2076', '4765', '4.00', '76.00']
['2079', '4762', '4.00', '74.00']
['2078', '4756', '4.00', '72.00']
['2077', '4758', '4.00', '70.00']
['2078', '4754', '4.00', '68.00']
['2076', '4757', '4.00', '66.00']
['2078', '4755', '4.00', '64.00']
['2076', '4760', '4.00', '62.00']
['2078', '4757', '4.00', '60.00']
['2077', '4762', '4.00', '58.00']
['2077', '4760', '4.00', '56.00']
['2078', '4761', '4.00', '54.00']
['2076', '4764', '4.00', '52.00']
['2076', '4762', '4.00', '50.00']
['2079', '4757', '4.00', '48.00']
['2079', '4762', '4.00', '46.00']
['2076', '4758', '4.00', '44.00']
['2080', '4761', '4.00', '42.00']
['2078', '4758', '4.00', '40.00']
['2079', '4759', '4.00', '38.00']
['2077', '4769', '4.00', '36.00']
['2076', '4757', '4.00', '34.00']
['2077', '4764', '4.00', '32.00']
['2077', '4755', '4.00', '30.00']
['2077', '4760', '4.00', '28.00']
['2075', '4757', '6.00', '10.00']
['2076', '4755', '6.00', '12.00']
['2077', '4754', '6.00', '14.00']
['2076', '4753', '6.00', '16.00']
['2077', '4750', '6.00', '18.00']
['2075', '4753', '6.00', '20.00']
['2074', '4754', '6.00', '22.00']
['2074', '4754', '6.00', '24.00']
['2076', '4758', '6.00', '26.00']
['2075', '4754', '6.00', '28.00']
['2075', '4758', '6.00', '30.00']
['2076', '4753', '6.00', '32.00']
['2079', '4755', '6.00', '34.00']
['2074', '4753', '6.00', '36.00']
['2077', '4753', '6.00', '38.00']
['2078', '4762', '6.00', '40.00']
['2076', '4758', '6.00', '42.00']
['2079', '4760', '6.00', '44.00']
['2075', '4760', '6.00', '46.00']
['2076', '4754', '6.00', '48.00']
['2076', '4754', '6.00', '50.00']
['2076', '4758', '6.00', '52.00']
['2075', '4762', '6.00', '54.00']
['2074', '4750', '6.00', '56.00']
['2075', '4752', '6.00', '58.00']
['2077', '4752', '6.00', '60.00']
['2076', '4752', '6.00', '62.00']
['2076', '4752', '6.00', '64.00']
['2074', '4754', '6.00', '66.00']
['2075', '4758', '6.00', '68.00']
['2077', '4754', '6.00', '70.00']
['2077', '4752', '6.00', '72.00']
['2075', '4747', '6.00', '74.00']
['2075', '4748', '6.00', '76.00']
['2077', '4749', '6.00', '78.00']
['2077', '4752', '6.00', '80.00']
['2076', '4752', '6.00', '82.00']
['2078', '4752', '6.00', '84.00']
['2076', '4753', '6.00', '86.00']
['2075', '4746', '6.00', '88.00']
['2076', '4749', '6.00', '90.00']
['2076', '4752', '6.00', '92.00']
['2076', '4745', '6.00', '94.00']
['2076', '4749', '6.00', '96.00']
['2076', '4747', '6.00', '98.00']
['2075', '4747', '6.00', '100.00']
['2075', '4751', '6.00', '102.00']
['2076', '4749', '6.00', '104.00']
['2074', '4748', '6.00', '106.00']
['2076', '4743', '6.00', '108.00']
['2076', '4751', '6.00', '110.00']
['2074', '4759', '6.00', '112.00']
['2075', '4747', '6.00', '114.00']
['2079', '4744', '6.00', '116.00']
['2075', '4746', '6.00', '118.00']
['2075', '4744', '6.00', '120.00']
['2074', '4744', '6.00', '122.00']
['2075', '4743', '6.00', '124.00']
['2076', '4750', '6.00', '126.00']
['2075', '4741', '6.00', '128.00']
['2076', '4750', '6.00', '130.00']
['2076', '4735', '6.00', '132.00']
['2078', '4740', '6.00', '134.00']
['2075', '4743', '6.00', '136.00']
['2076', '4741', '6.00', '138.00']
['2075', '4750', '6.00', '140.00']
['2078', '4748', '6.00', '142.00']
['2077', '4744', '6.00', '144.00']
['2078', '4743', '6.00', '146.00']
['2076', '4741', '6.00', '148.00']
['2074', '4744', '8.00', '150.00']
['2073', '4739', '8.00', '148.00']
['2076', '4743', '8.00', '146.00']
['2077', '4740', '8.00', '144.00']
['2078', '4742', '8.00', '142.00']
['2078', '4743', '8.00', '140.00']
